merchant,category,amt,city,state,lat,long,city_pop,job,merch_lat,merch_long,is_fraud,transaction_year,transaction_month,transaction_day,transaction_hour,age
Kutch and Sons,grocery_pos,307.5,San Jose,CA,37.3304,-121.7913,973849,Science writer,37.5925,-122.356511,1,2019,1,13,23,64
"""Parisian, Schiller and Altenwerth""",misc_net,790.35,San Jose,CA,37.3304,-121.7913,973849,Science writer,37.033841,-121.371988,1,2019,1,13,23,64
Kozey-Boehm,shopping_net,1065.43,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",41.880236,-98.612455,1,2019,1,13,23,45
Rau and Sons,grocery_pos,306.81,San Jose,CA,37.3304,-121.7913,973849,Science writer,36.502259,-122.323669,1,2019,1,14,0,64
Parisian and Sons,gas_transport,12.57,San Jose,CA,37.3304,-121.7913,973849,Science writer,36.860137,-122.217748,1,2019,1,14,0,64
O'Keefe-Hudson,grocery_pos,324.87,Westerville,NE,41.4193,-99.3844,73,Product designer,41.603137,-99.129649,1,2019,1,14,0,84
Cassin-Harvey,grocery_net,16.44,Westerville,NE,41.4193,-99.3844,73,Product designer,40.869894,-99.153196,1,2019,1,14,1,84
"""Schumm, Bauch and Ondrick""",grocery_pos,277.53,San Jose,CA,37.3304,-121.7913,973849,Science writer,36.59875,-121.383937,1,2019,1,14,1,64
"""Towne, Walker and Bore""",grocery_net,13.2,Westerville,NE,41.4193,-99.3844,73,Product designer,42.024265,-98.441592,1,2019,1,14,2,84
Kling-Grant,grocery_net,12.95,Westerville,NE,41.4193,-99.3844,73,Product designer,40.701366,-98.890275,1,2019,1,14,8,84
"""Jenkins, Hauck and Friesen""",gas_transport,8.25,San Jose,CA,37.3304,-121.7913,973849,Science writer,37.259809,-121.89842,1,2019,1,14,9,64
"""Baumbach, Hodkiewicz and Walsh""",shopping_pos,839.35,Westerville,NE,41.4193,-99.3844,73,Product designer,42.337832,-99.34228,1,2019,1,14,16,84
Beier-Hyatt,shopping_pos,969.64,San Jose,CA,37.3304,-121.7913,973849,Science writer,36.709536,-122.649175,1,2019,1,14,22,64
"""Reichert, Huels and Hoppe""",shopping_net,1034.21,Westerville,NE,41.4193,-99.3844,73,Product designer,41.12487,-100.349332,1,2019,1,14,23,84
"""Konopelski, Schneider and Hartmann""",food_dining,121.62,Westerville,NE,41.4193,-99.3844,73,Product designer,40.544371,-98.726597,1,2019,1,14,23,84
VonRueden Group,grocery_net,15.05,Westerville,NE,41.4193,-99.3844,73,Product designer,42.015822,-98.943391,1,2019,1,15,1,84
Koelpin and Sons,misc_net,851.71,Westerville,NE,41.4193,-99.3844,73,Product designer,40.461654,-98.987825,1,2019,1,15,22,84
"""Little, Gutmann and Lynch""",shopping_net,1124.01,Westerville,NE,41.4193,-99.3844,73,Product designer,40.65072,-98.820629,1,2019,1,15,23,84
"""Reichert, Shanahan and Hayes""",shopping_net,1140.41,Westerville,NE,41.4193,-99.3844,73,Product designer,41.151133,-99.38238,1,2019,1,15,23,84
"""Monahan, Bogisich and Ledne""",misc_pos,795.59,Thompson,UT,38.9999,-109.615,46,"""Surveyor, minerals""",38.278335,-109.044284,1,2019,1,17,1,32
Kutch LLC,gas_transport,9.79,Thompson,UT,38.9999,-109.615,46,"""Surveyor, minerals""",39.157345,-109.126592,1,2019,1,17,8,32
Kutch-Wilderman,home,187.35,Thompson,UT,38.9999,-109.615,46,"""Surveyor, minerals""",39.42207,-109.555496,1,2019,1,17,22,32
"""Nicolas, Hills and McGlynn""",entertainment,564.34,Thompson,UT,38.9999,-109.615,46,"""Surveyor, minerals""",38.435536,-109.844716,1,2019,1,17,22,32
Boyer PLC,shopping_net,978.96,Thompson,UT,38.9999,-109.615,46,"""Surveyor, minerals""",38.893999,-109.677707,1,2019,1,18,0,32
Kerluke-Abshire,shopping_net,849.79,Thompson,UT,38.9999,-109.615,46,"""Surveyor, minerals""",38.376171,-110.36249,1,2019,1,18,3,32
Rempel Inc,shopping_net,955.4,Thompson,UT,38.9999,-109.615,46,"""Surveyor, minerals""",38.748484,-110.32181,1,2019,1,18,3,32
Shanahan-Lehne,personal_care,21.54,Thompson,UT,38.9999,-109.615,46,"""Surveyor, minerals""",38.211376,-109.986757,1,2019,1,18,14,32
Beier LLC,entertainment,528.98,Thompson,UT,38.9999,-109.615,46,"""Surveyor, minerals""",39.164469,-109.933543,1,2019,1,18,22,32
Bartoletti and Sons,personal_care,21.23,Thompson,UT,38.9999,-109.615,46,"""Surveyor, minerals""",38.998205,-110.005615,1,2019,1,18,22,32
Ankunding-Carroll,travel,9.33,Thompson,UT,38.9999,-109.615,46,"""Surveyor, minerals""",39.23064,-108.990363,1,2019,1,18,23,32
Wilkinson Lt,entertainment,386.91,Thompson,UT,38.9999,-109.615,46,"""Surveyor, minerals""",39.262556,-109.656927,1,2019,1,18,23,32
"""Huel, Hammes and Witting""",grocery_pos,329.83,Parker Dam,CA,34.298,-114.156,126,Marketing executive,35.269747,-115.001724,1,2019,1,27,1,27
Kuhic Inc,grocery_pos,298.01,Parker Dam,CA,34.298,-114.156,126,Marketing executive,34.068192,-113.412581,1,2019,1,27,4,27
Donnelly PLC,misc_net,1043.38,Parker Dam,CA,34.298,-114.156,126,Marketing executive,34.351802,-114.176826,1,2019,1,27,22,27
Kuhic LLC,shopping_net,1189.69,Parker Dam,CA,34.298,-114.156,126,Marketing executive,34.327016,-114.299654,1,2019,1,27,22,27
McDermott-Weimann,grocery_pos,289.8,Parker Dam,CA,34.298,-114.156,126,Marketing executive,34.11963,-114.068992,1,2019,1,27,23,27
Friesen Inc,shopping_pos,795.01,Parker Dam,CA,34.298,-114.156,126,Marketing executive,34.922036,-113.901876,1,2019,1,27,23,27
DuBuque LLC,grocery_pos,296.87,Parker Dam,CA,34.298,-114.156,126,Marketing executive,33.352471,-113.515467,1,2019,1,28,0,27
Hackett-Lueilwitz,grocery_pos,294.02,Parker Dam,CA,34.298,-114.156,126,Marketing executive,33.868431,-114.495419,1,2019,1,28,1,27
Kilback LLC,grocery_pos,295.07,San Diego,CA,32.7185,-117.1593,1241364,Comptroller,32.136058,-118.113176,1,2019,1,28,2,32
Koepp-Parke,grocery_pos,321.49,Parker Dam,CA,34.298,-114.156,126,Marketing executive,35.181692,-115.067423,1,2019,1,28,3,27
Kiehn Inc,grocery_pos,276.99,San Diego,CA,32.7185,-117.1593,1241364,Comptroller,32.602272,-117.826092,1,2019,1,28,3,32
Bauch-Rayno,grocery_pos,306.2,San Diego,CA,32.7185,-117.1593,1241364,Comptroller,31.874764,-117.478948,1,2019,1,28,5,32
Koepp-Witting,grocery_pos,290.89,San Diego,CA,32.7185,-117.1593,1241364,Comptroller,31.881961,-117.269511,1,2019,1,28,8,32
"""Kihn, Abernathy and Douglas""",shopping_net,1005.31,San Diego,CA,32.7185,-117.1593,1241364,Comptroller,33.003474,-116.408968,1,2019,1,28,22,32
Hudson-Ratke,grocery_pos,287.42,Parker Dam,CA,34.298,-114.156,126,Marketing executive,33.39735,-114.42256,1,2019,1,28,22,27
"""Romaguera, Cruickshank and Greenholt""",shopping_net,1058.01,San Diego,CA,32.7185,-117.1593,1241364,Comptroller,33.259031,-117.083503,1,2019,1,28,23,32
"""Reichert, Huels and Hoppe""",shopping_net,1037.0,San Diego,CA,32.7185,-117.1593,1241364,Comptroller,33.086398,-117.259417,1,2019,1,28,23,32
Murray-Smitham,grocery_pos,285.88,San Diego,CA,32.7185,-117.1593,1241364,Comptroller,32.297113,-117.660065,1,2019,1,29,1,32
Dooley-Thompson,misc_net,731.6,San Diego,CA,32.7185,-117.1593,1241364,Comptroller,31.967624,-116.858395,1,2019,1,29,1,32
"""Schoen, Kuphal and Nitzsche""",grocery_pos,326.94,San Diego,CA,32.7185,-117.1593,1241364,Comptroller,32.64137,-116.730718,1,2019,1,29,3,32
"""Baumbach, Hodkiewicz and Walsh""",shopping_pos,715.29,San Diego,CA,32.7185,-117.1593,1241364,Comptroller,32.785261,-117.276053,1,2019,1,29,23,32
"""Baumbach, Hodkiewicz and Walsh""",shopping_pos,986.53,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,39.42055,-94.27143,1,2019,1,30,0,30
Mohr-Baye,shopping_net,1041.76,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,38.85913,-93.019556,1,2019,1,30,1,30
"""Tillman, Fritsch and Schmitt""",misc_net,857.67,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,38.735425,-93.433279,1,2019,1,30,2,30
"""Schiller, Blanda and Johnson""",home,241.08,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,38.291139,-93.380603,1,2019,1,30,22,30
"""Lang, Towne and Schuppe""",kids_pets,19.77,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,39.470802,-93.140293,1,2019,1,30,22,30
Larson-Moen,entertainment,540.67,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,39.287665,-94.091537,1,2019,1,30,23,30
Jacobi and Sons,shopping_pos,868.34,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,37.89086,-93.584179,1,2019,1,31,0,30
"""Schumm, Bauch and Ondrick""",grocery_pos,291.92,Vacaville,CA,38.3847,-121.9887,99475,Clinical cytogeneticist,38.308291,-121.577277,1,2019,1,31,2,49
Kilback LLC,grocery_pos,290.2,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,38.507573,-93.024078,1,2019,1,31,2,30
Miller-Harris,misc_net,820.25,Vacaville,CA,38.3847,-121.9887,99475,Clinical cytogeneticist,38.391948,-121.021048,1,2019,1,31,17,49
Kerluke-Abshire,shopping_net,1084.55,Vacaville,CA,38.3847,-121.9887,99475,Clinical cytogeneticist,38.962408,-121.301792,1,2019,1,31,22,49
"""Nicolas, Hills and McGlynn""",entertainment,424.38,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,39.081379,-93.845355,1,2019,1,31,22,30
Abbott-Rogahn,entertainment,474.24,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,38.219676,-92.956091,1,2019,1,31,23,30
Daugherty LLC,kids_pets,20.21,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,38.527335,-94.342242,1,2019,1,31,23,30
Torp-Lemke,misc_pos,8.57,Vacaville,CA,38.3847,-121.9887,99475,Clinical cytogeneticist,37.871215,-122.115239,1,2019,1,31,23,49
Bernhard Inc,gas_transport,9.17,Vacaville,CA,38.3847,-121.9887,99475,Clinical cytogeneticist,38.790493,-121.925421,1,2019,2,1,1,49
Doyle Lt,grocery_pos,259.96,Vacaville,CA,38.3847,-121.9887,99475,Clinical cytogeneticist,38.608995,-121.863386,1,2019,2,1,3,49
"""Hahn, Bahringer and McLaughlin""",personal_care,19.83,Vacaville,CA,38.3847,-121.9887,99475,Clinical cytogeneticist,38.553685,-121.53418,1,2019,2,1,23,49
Koepp-Parke,grocery_pos,304.08,La Grande,OR,45.3304,-118.0852,16955,"""Engineer, site""",44.559052,-117.642777,1,2019,2,7,6,58
Medhurst PLC,shopping_net,1105.42,La Grande,OR,45.3304,-118.0852,16955,"""Engineer, site""",45.594707,-117.573818,1,2019,2,7,16,58
Pacocha-O'Reilly,grocery_pos,257.63,La Grande,OR,45.3304,-118.0852,16955,"""Engineer, site""",46.026023,-117.409519,1,2019,2,7,22,58
Rempel Inc,shopping_net,942.0,La Grande,OR,45.3304,-118.0852,16955,"""Engineer, site""",44.4009,-118.984081,1,2019,2,7,22,58
"""Rodriguez, Yost and Jenkins""",misc_net,768.0,La Grande,OR,45.3304,-118.0852,16955,"""Engineer, site""",45.224147,-118.552234,1,2019,2,7,23,58
"""Schumm, Bauch and Ondrick""",grocery_pos,309.02,Port Costa,CA,38.046,-122.1866,198,Armed forces training and education officer,37.964672,-122.708937,1,2019,2,7,23,60
Kessler Group,travel,9.9,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,39.169089,-93.078902,1,2019,2,7,23,45
"""Labadie, Treutel and Bode""",shopping_net,935.13,La Grande,OR,45.3304,-118.0852,16955,"""Engineer, site""",45.543601,-118.293693,1,2019,2,7,23,58
Kerluke-Abshire,shopping_net,1096.03,La Grande,OR,45.3304,-118.0852,16955,"""Engineer, site""",46.306316,-118.697593,1,2019,2,7,23,58
Ruecker Group,misc_net,719.82,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,39.951004,-92.359492,1,2019,2,7,23,45
"""Zieme, Bode and Dooley""",gas_transport,6.79,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,39.96651,-93.322742,1,2019,2,8,0,45
Schamberger-O'Keefe,grocery_pos,290.65,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,39.079825,-93.78391,1,2019,2,8,0,45
Conroy-Cruickshank,gas_transport,9.91,La Grande,OR,45.3304,-118.0852,16955,"""Engineer, site""",44.945349,-118.11122,1,2019,2,8,1,58
Bailey-Mo,grocery_pos,311.48,Port Costa,CA,38.046,-122.1866,198,Armed forces training and education officer,38.154261,-123.162765,1,2019,2,8,3,60
Huels-Hahn,gas_transport,9.13,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,40.418609,-93.548774,1,2019,2,8,5,45
Kiehn-Emmerich,grocery_pos,257.47,La Grande,OR,45.3304,-118.0852,16955,"""Engineer, site""",44.57571,-117.80987,1,2019,2,8,7,58
"""Schmeler, Bashirian and Price""",shopping_net,880.19,Port Costa,CA,38.046,-122.1866,198,Armed forces training and education officer,38.471698,-122.846694,1,2019,2,8,13,60
Bednar Group,misc_net,696.29,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,39.868586,-92.549576,1,2019,2,8,22,45
Conroy Lt,shopping_pos,957.09,La Grande,OR,45.3304,-118.0852,16955,"""Engineer, site""",46.157676,-117.699328,1,2019,2,8,22,58
"""Towne, Greenholt and Koepp""",shopping_net,1016.26,La Grande,OR,45.3304,-118.0852,16955,"""Engineer, site""",44.449987,-118.256304,1,2019,2,8,23,58
Padberg-Welch,grocery_pos,289.74,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,39.515652,-94.123122,1,2019,2,8,23,45
Crooks and Sons,personal_care,45.24,Port Costa,CA,38.046,-122.1866,198,Armed forces training and education officer,38.269367,-121.840603,1,2019,2,8,23,60
Gleason-Macejkovic,shopping_net,900.06,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,38.864622,-92.568113,1,2019,2,8,23,45
"""Little, Gutmann and Lynch""",shopping_net,1140.72,La Grande,OR,45.3304,-118.0852,16955,"""Engineer, site""",44.916768,-117.690038,1,2019,2,8,23,58
Zemlak Group,misc_net,786.4,Port Costa,CA,38.046,-122.1866,198,Armed forces training and education officer,38.679519,-121.762099,1,2019,2,8,23,60
Kutch and Sons,grocery_pos,289.12,Alva,WY,44.6873,-104.4414,110,"""Administrator, local government""",45.074749,-104.113397,1,2019,2,11,1,46
Vandervort-Funk,grocery_pos,325.35,Alva,WY,44.6873,-104.4414,110,"""Administrator, local government""",45.087558,-104.09532,1,2019,2,11,2,46
Pacocha-O'Reilly,grocery_pos,280.64,Alva,WY,44.6873,-104.4414,110,"""Administrator, local government""",45.357955,-104.809791,1,2019,2,11,3,46
"""Jones, Sawayn and Romague""",misc_net,828.73,Alva,WY,44.6873,-104.4414,110,"""Administrator, local government""",43.826015,-104.239668,1,2019,2,11,22,46
Hills-Witting,shopping_net,853.8,Alva,WY,44.6873,-104.4414,110,"""Administrator, local government""",44.062324,-103.879906,1,2019,2,11,22,46
Kilback LLC,grocery_pos,295.85,Alva,WY,44.6873,-104.4414,110,"""Administrator, local government""",44.020015,-105.392134,1,2019,2,12,0,46
Bogisich Inc,grocery_pos,348.01,Lowell,OR,43.921,-122.7806,1420,Systems analyst,44.202317,-122.900884,1,2019,2,12,1,54
"""Adams, Kovacek and Kuhlman""",grocery_net,16.73,Lowell,OR,43.921,-122.7806,1420,Systems analyst,43.120671,-123.40541,1,2019,2,12,2,54
Padberg-Welch,grocery_pos,309.35,Lowell,OR,43.921,-122.7806,1420,Systems analyst,43.793951,-123.617007,1,2019,2,12,10,54
Ernser-Lynch,food_dining,123.61,Alva,WY,44.6873,-104.4414,110,"""Administrator, local government""",44.845781,-104.414629,1,2019,2,12,16,46
"""Stehr, Jewess and Schimmel""",misc_net,763.2,Lowell,OR,43.921,-122.7806,1420,Systems analyst,43.043863,-122.854471,1,2019,2,12,18,54
Schmitt Lt,misc_net,935.83,Alva,WY,44.6873,-104.4414,110,"""Administrator, local government""",43.774893,-104.564982,1,2019,2,12,22,46
Pouros-Conroy,shopping_pos,912.51,Alva,WY,44.6873,-104.4414,110,"""Administrator, local government""",45.219679,-104.676706,1,2019,2,12,22,46
Schuppe LLC,entertainment,615.49,Lowell,OR,43.921,-122.7806,1420,Systems analyst,43.28018,-122.063582,1,2019,2,12,22,54
Schmidt and Sons,shopping_net,1073.84,Lowell,OR,43.921,-122.7806,1420,Systems analyst,43.10308,-123.429968,1,2019,2,12,23,54
Ankunding LLC,shopping_net,920.07,Lowell,OR,43.921,-122.7806,1420,Systems analyst,43.948308,-122.346761,1,2019,2,12,23,54
Schmitt Lt,misc_net,803.95,Lowell,OR,43.921,-122.7806,1420,Systems analyst,43.019291,-123.267731,1,2019,2,12,23,54
"""Osinski, Ledner and Leuschke""",grocery_pos,362.56,Lowell,OR,43.921,-122.7806,1420,Systems analyst,44.328304,-122.658093,1,2019,2,12,23,54
Denesik and Sons,shopping_pos,787.51,Lowell,OR,43.921,-122.7806,1420,Systems analyst,43.674503,-123.424749,1,2019,2,12,23,54
Kilback LLC,grocery_pos,297.37,Lowell,OR,43.921,-122.7806,1420,Systems analyst,43.834392,-122.19793,1,2019,2,13,0,54
Miller-Hauck,grocery_pos,348.36,Lowell,OR,43.921,-122.7806,1420,Systems analyst,43.482349,-123.481414,1,2019,2,13,2,54
Bailey-Mo,grocery_pos,357.5,Lowell,OR,43.921,-122.7806,1420,Systems analyst,43.89829,-122.943875,1,2019,2,13,2,54
Morissette PLC,shopping_pos,833.74,Albuquerque,NM,35.0561,-106.5506,641349,Charity officer,35.5078,-106.296518,1,2019,2,13,21,52
Leffler-Goldne,personal_care,20.25,Albuquerque,NM,35.0561,-106.5506,641349,Charity officer,35.003639,-107.484173,1,2019,2,13,22,52
Bednar Group,misc_net,801.83,Albuquerque,NM,35.0561,-106.5506,641349,Charity officer,34.487789,-105.783679,1,2019,2,13,22,52
"""Welch, Rath and Koepp""",entertainment,695.53,Lowell,OR,43.921,-122.7806,1420,Systems analyst,44.603272,-123.012746,1,2019,2,13,22,54
"""Zboncak, Rowe and Murazik""",shopping_net,1156.15,Albuquerque,NM,35.0561,-106.5506,641349,Charity officer,34.625719,-106.546502,1,2019,2,13,22,52
"""Ruecker, Beer and Collie""",shopping_net,995.63,Albuquerque,NM,35.0561,-106.5506,641349,Charity officer,35.209581,-106.704058,1,2019,2,13,22,52
Morissette PLC,shopping_pos,875.17,Albuquerque,NM,35.0561,-106.5506,641349,Charity officer,34.338973,-105.885555,1,2019,2,13,23,52
Kunze Inc,grocery_pos,321.17,Albuquerque,NM,35.0561,-106.5506,641349,Charity officer,34.483199,-105.901154,1,2019,2,13,23,52
Smith-Stokes,misc_pos,51.02,Lowell,OR,43.921,-122.7806,1420,Systems analyst,43.691838,-122.921076,1,2019,2,13,23,54
Volkman Lt,misc_net,664.64,Albuquerque,NM,35.0561,-106.5506,641349,Charity officer,34.374677,-105.780368,1,2019,2,13,23,52
Miller-Hauck,grocery_pos,281.68,Albuquerque,NM,35.0561,-106.5506,641349,Charity officer,34.071853,-107.032302,1,2019,2,14,0,52
Mraz-Herzog,gas_transport,9.72,Albuquerque,NM,35.0561,-106.5506,641349,Charity officer,34.337435,-106.863773,1,2019,2,14,1,52
"""Schumm, Bauch and Ondrick""",grocery_pos,293.68,Albuquerque,NM,35.0561,-106.5506,641349,Charity officer,34.446637,-106.429048,1,2019,2,14,2,52
Donnelly PLC,misc_net,749.92,Albuquerque,NM,35.0561,-106.5506,641349,Charity officer,34.113082,-107.405093,1,2019,2,14,22,52
Turner and Sons,shopping_pos,871.27,Lamy,NM,35.4311,-105.9409,923,Public relations account executive,34.839465,-106.569735,1,2019,2,16,22,55
"""Terry, Johns and Bins""",misc_pos,51.66,Lamy,NM,35.4311,-105.9409,923,Public relations account executive,35.907743,-105.212285,1,2019,2,16,22,55
Stracke-Lemke,grocery_pos,340.18,Lamy,NM,35.4311,-105.9409,923,Public relations account executive,36.14015,-106.119865,1,2019,2,17,12,55
Beier-Hyatt,shopping_pos,671.44,Lamy,NM,35.4311,-105.9409,923,Public relations account executive,36.411315,-105.841668,1,2019,2,17,21,55
Bogisich-Homenick,misc_net,806.03,Lamy,NM,35.4311,-105.9409,923,Public relations account executive,35.933504,-106.014046,1,2019,2,17,23,55
Vandervort-Funk,grocery_pos,298.7,Hubbell,NE,40.0456,-97.4735,121,Set designer,39.94901,-96.703476,1,2019,2,25,0,23
"""Christiansen, Goyette and Schamberge""",gas_transport,10.44,Hubbell,NE,40.0456,-97.4735,121,Set designer,41.029483,-98.428136,1,2019,2,25,0,23
Kunze Inc,grocery_pos,300.27,Hubbell,NE,40.0456,-97.4735,121,Set designer,39.413321,-98.075579,1,2019,2,25,1,23
Wolf Inc,grocery_pos,299.49,Hubbell,NE,40.0456,-97.4735,121,Set designer,39.785211,-96.60896,1,2019,2,25,1,23
Berge LLC,gas_transport,9.21,Hubbell,NE,40.0456,-97.4735,121,Set designer,39.303936,-96.976292,1,2019,2,25,2,23
Kiehn-Emmerich,grocery_pos,285.81,Hubbell,NE,40.0456,-97.4735,121,Set designer,40.990782,-97.605382,1,2019,2,25,3,23
Larkin Lt,kids_pets,20.27,Hubbell,NE,40.0456,-97.4735,121,Set designer,39.465551,-98.369363,1,2019,2,25,14,23
Cormier LLC,shopping_net,1165.94,Hubbell,NE,40.0456,-97.4735,121,Set designer,39.497113,-96.492329,1,2019,2,25,22,23
"""Langworth, Boehm and Gulgowski""",shopping_net,942.93,Hubbell,NE,40.0456,-97.4735,121,Set designer,40.562529,-97.87002,1,2019,2,25,22,23
Boyer PLC,shopping_net,1078.92,Hubbell,NE,40.0456,-97.4735,121,Set designer,40.281654,-97.399513,1,2019,2,25,22,23
"""Champlin, Rolfson and Connelly""",travel,9.15,Hubbell,NE,40.0456,-97.4735,121,Set designer,40.972924,-97.091445,1,2019,2,25,23,23
"""Little, Gutmann and Lynch""",shopping_net,996.11,Hubbell,NE,40.0456,-97.4735,121,Set designer,40.540097,-96.514041,1,2019,2,25,23,23
Schmitt Lt,misc_net,659.33,Hubbell,NE,40.0456,-97.4735,121,Set designer,40.411281,-98.44628,1,2019,2,25,23,23
